Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,BLOCO/TROÇA - URL,LOCAL,LATITUDE,LONGITUDE,Orquestra
QUINTA,12/02,FALSE,18:00,20:00,Olinda,Elefante de Olinda,https://www.instagram.com/elefantedeolinda/,Largo do Guadalupe,-8.010065,-34.8558844,
QUINTA,12/02,FALSE,16:00,17:00,Recife,Afojubá Batuque,https://www.instagram.com/afojubarecife,Avenida Marquês de Olinda,-8.0635147,-34.8730271,
QUINTA,12/02,FALSE,16:00,17:00,Olinda,Garoto da Noite,,"Rua São Francisco, 26",-8.0164209,-34.8482814,
QUINTA,12/02,FALSE,19:00,20:00,Recife,Escuta Levino,https://www.instagram.com/escutalevino/,Praça Maciel Pinheiro,-8.0624733,-34.8854297,Maestro Lessa/Maestro Sid
QUINTA,12/02,FALSE,18:00,20:00,Recife,Me Mostra Teu Mapa Astral,https://www.instagram.com/tcmmapaastral/,Praça Maciel Pinheiro,-8.0624733,-34.8854297,
QUINTA,12/02,FALSE,20:00,21:00,Recife,Shortinho Torano,https://www.instagram.com/shortinhotorano,"Rua do Apolo, 174",-8.0612005,-34.8720317,Orquestra Império
SEXTA,13/02,FALSE,17:00,18:00,Olinda,Cortejo do Boneco do Maestro Óseas,https://www.instagram.com/oficial_orquestramaestrooseas,Bar do Ró,-8.0110592,-34.8567962,Maestro Oseas
SEXTA,13/02,FALSE,15:00,16:00,Olinda,O Fazendão,https://www.instagram.com/tcm_ofazendao,Secretaria da Fazenda de Olinda,-8.0213647,-34.8533107,
SEXTA,13/02,,15:00,15:00,Olinda,Deusas do Ébano,https://www.instagram.com/deusasdoebano.bloco/,Largo do Guadalupe,-8.010065,-34.8558844,
SEXTA,13/02,,16:20,17:00,Olinda,Me Rega Que Eu Brilho,https://www.instagram.com/meregaqueeubrilho,Quatro Cantos,-8.0158116,-34.8534393,Henrique Dias
SEXTA,13/02,FALSE,16:30,17:30,Olinda,Abduzidos,,Casa Nala,-8.00488,-34.8724289,
SEXTA,13/02,FALSE,17:00,18:00,Olinda,Caraca Moleque,https://www.instagram.com/tcmcaracamoleque2023,Centro Luiz Freire,-8.017712,-34.851754,
SEXTA,13/02,FALSE,17:00,19:30,Recife,"Segura o Tonho, Charlie Brow",https://www.instagram.com/seguraotonho,Rua da Moeda,-8.0645962,-34.872844,
SEXTA,13/02,FALSE,17:00,19:00,Recife,Nem Sempre Lily Toca Flauta,https://www.instagram.com/nemsempre_lily,Pátio Santa Cruz,-8.0621707,-34.8878913,Betto do Bandolim e Levino Ferreira
SEXTA,13/02,FALSE,19:00,19:00,Olinda,Mulher do Dia,https://www.instagram.com/mulherdodiaoficial/,Vassourinhas de Olinda - Largo do Amparo,-8.0112489,-34.8542192,Henrique Dias
