dia_semana,data,hora_inicio,hora_fim,cidade,evento,local,observacao
QUINTA,12/02,18:00,20:00,Olinda,Elefante de Olinda,Largo do Guadalupe,-
QUINTA,12/02,16:00,17:00,Recife,Afojubá Batuque,Avenida Marquês de Olinda,-
QUINTA,12/02,16:00,17:00,Olinda,Garoto da Noite,"Rua São Francisco, 26",-
QUINTA,12/02,19:00,20:00,Recife,Escuta Levino,Praça Maciel Pinheiro,Maestro Lessa/Maestro Sid
QUINTA,12/02,18:00,20:00,Recife,Me Mostra Teu Mapa Astral,Praça Maciel Pinheiro,-
QUINTA,12/02,20:00,21:00,Recife,Shortinho Torano,"Rua do Apolo, 174",Orquestra Império
SEXTA,13/02,17:00,18:00,Olinda,Cortejo do Boneco do Maestro Óseas,Bar do Ró,Maestro Oseas
SEXTA,13/02,15:00,16:00,Olinda,O Fazendão,Secretaria da Fazenda de Olinda,-
SEXTA,13/02,15:00,15:00,Olinda,Deusas do Ébano,Largo do Guadalupe,-
SEXTA,13/02,16:20,17:00,Olinda,Me Rega Que Eu Brilho,Quatro Cantos,Henrique Dias
SEXTA,13/02,16:30,17:30,Olinda,Abduzidos,Casa Nala,-
SEXTA,13/02,17:00,18:00,Olinda,Caraca Moleque,Centro Luiz Freire,-
SEXTA,13/02,17:00,19:30,Recife,"Segura o Tonho, Charlie Brow",Rua da Moeda,-
SEXTA,13/02,17:00,19:00,Recife,Nem Sempre Lily Toca Flauta,Pátio Santa Cruz,Betto do Bandolim e Levino Ferreira
SEXTA,13/02,19:00,19:00,Olinda,Mulher do Dia,Vassourinhas de Olinda - Largo do Amparo,Henrique Dias
SEXTA,13/02,18:30,19:30,Olinda,Traquinos em Folia,Sede da Pitombeira,Maestro Oseas
SEXTA,13/02,18:30,19:30,Recife,Buzina mas não freia,Coreto do Derby,-
SEXTA,13/02,18:00,20:00,Olinda,Sem Nome,"Rua 27 de Janeiro, 197",Maestro Carlos
SEXTA,13/02,19:00,20:00,Recife,Batuques de Pernambuco,Rua da Moeda,-
SEXTA,13/02,20:00,20:00,Recife,Batadoní,Avenida Rio Branco,-
SEXTA,13/02,17:30,20:30,Olinda,Feitiço das Estrelas,"Rua do Bonfim, 82",-
SEXTA,13/02,17:30,20:30,Olinda,Rapariga Véa,Bar do Peneira,-
